Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,total_g,throttle_jerk,brake_jerk,steer_speed,avg_slip_rear,avg_slip_front,target_score
24.51,154.6,0.0,0.0,-0.277,-0.227,0.35813126085277736,0.0,0.0,1.0000000000002274,0.655,0.95,63.63636363636363
24.32,154.6,0.0,0.0,-0.268,-0.225,0.34992713527247354,0.0,0.0,2.2737367544323206e-13,0.615,0.915,63.63636363636363
24.21,154.6,0.0,0.0,-0.306,-0.005,0.3060408469469394,0.0,0.0,0.0,0.61,0.8999999999999999,63.63636363636363
24.02,154.6,0.0,0.0,-0.307,-0.007,0.30707979419037,0.0,0.0,2.2737367544323206e-13,0.62,0.895,63.63636363636363
23.89,154.6,0.0,0.0,-0.268,-0.222,0.34800574707898146,0.0,0.0,0.0,0.63,0.89,63.63636363636363
23.72,154.6,0.0,0.0,-0.306,-0.007,0.30608005488760615,0.0,0.0,0.0,0.635,0.885,63.63636363636363
23.54,154.6,0.0,0.0,-0.301,-0.006,0.3010597947252339,0.0,0.0,0.0,0.62,0.865,63.63636363636363
23.43,154.6,0.0,0.0,-0.297,-0.006,0.29706059987820665,0.0,0.0,0.0,0.61,0.85,63.63636363636363
23.23,154.6,0.0,0.0,-0.252,-0.21,0.32803048638807947,0.0,0.0,0.0,0.585,0.835,63.63636363636363
23.13,154.6,0.0,0.0,-0.287,-0.005,0.28704355070267645,0.0,0.0,0.0,0.5700000000000001,0.825,63.63636363636363
22.96,154.6,0.0,0.0,-0.281,-0.006,0.2810640496399353,0.0,0.0,0.0,0.555,0.81,63.63636363636363
22.83,154.6,0.0,0.0,-0.243,-0.203,0.31663543705656194,71.40000000000279,0.0,0.0,0.545,0.8049999999999999,63.63636363636363
22.67,154.6,7.14,0.0,-0.24,-0.195,0.30923292192132457,416.5999999999917,0.0,0.0,0.535,0.79,63.63636363636363
22.61,154.6,41.66,0.0,-0.277,0.06,0.28342371107583786,877.7999999999876,0.0,0.0,0.525,0.7849999999999999,63.63636363636363
22.77,154.6,94.92,0.0,-0.253,0.066,0.26146701512810366,583.399999999985,0.0,0.0,0.515,0.79,63.63636363636363
23.21,154.6,100.0,0.0,-0.292,0.458,0.543164800037705,50.800000000002,0.0,0.9999999999997726,0.575,0.825,64.5102645102645
24.19,154.5,100.0,0.0,-0.319,0.752,0.8168629015936517,0.0,0.0,6.0,0.8,0.9450000000000001,65.41386541386541
25.01,154.0,100.0,0.0,-0.341,0.729,0.8048117792378537,0.0,0.0,26.999999999999545,0.98,1.02,66.31746631746631
26.69,151.8,100.0,0.0,-0.328,0.91,0.9673076036091105,0.0,0.0,66.99999999999909,1.225,1.165,67.22106722106723
27.91,147.3,100.0,0.0,-0.398,0.797,0.8908495944883177,0.0,0.0,100.00000000000068,1.725,1.245,68.12466812466813
29.05,141.8,100.0,0.0,-0.424,0.717,0.8329855941131274,0.0,0.0,173.9999999999984,1.815,1.21,69.02826902826904
30.75,129.9,100.0,0.0,-0.401,0.763,0.8619570754973823,0.0,0.0,202.99999999999955,1.745,1.12,69.93186993186994
31.85,121.5,100.0,0.0,-0.388,0.791,0.881036321612225,0.0,0.0,214.9999999999991,1.815,1.015,70.83547083547086
33.61,108.4,100.0,0.0,-0.374,0.824,0.9049044148417003,0.0,0.0,219.99999999999682,2.0,0.93,71.73907173907176
35.05,99.5,100.0,0.0,-0.365,0.852,0.9268921188574213,0.0,0.0,218.0000000000024,2.1550000000000002,0.88,72.64267264267266
36.83,86.6,100.0,0.0,-0.348,0.886,0.951892851112981,0.0,0.0,242.00000000000148,2.33,0.77,72.19555616935222
38.18,75.3,100.0,0.0,-0.335,0.913,0.9725194085466882,0.0,0.0,223.00000000000068,2.44,0.6599999999999999,71.60891504391026
39.56,64.3,100.0,0.0,-0.335,0.93,0.9884963328207141,0.0,0.0,256.9999999999996,2.54,0.6749999999999999,71.0222739184683
41.67,49.6,100.0,0.0,-0.315,0.955,1.0056092680559383,0.0,0.0,218.99999999999682,2.6550000000000002,0.55,70.43563279302634
43.1,42.4,100.0,0.0,-0.303,0.965,1.0114514323485828,0.0,0.0,179.00000000000188,2.705,0.585,69.84899166758437
44.52,31.7,100.0,0.0,-0.283,0.956,0.9970080240399272,0.0,0.0,241.99999999999986,2.745,0.605,69.26235054214241
46.76,18.2,100.0,0.0,-0.257,0.975,1.008302533964881,0.0,0.0,213.9999999999988,2.7249999999999996,0.605,68.67570941670046
48.12,10.3,100.0,0.0,-0.247,1.003,1.032965633503845,0.0,0.0,186.9999999999996,2.625,0.605,68.0890682912585
50.37,-0.5,100.0,0.0,-0.203,1.018,1.038042870020309,0.0,0.0,165.99999999999764,2.3049999999999997,0.585,67.50242716581653
51.85,-6.3,100.0,0.0,-0.179,0.988,1.0040841598192853,0.0,0.0,97.99999999999972,2.0149999999999997,0.5700000000000001,66.91578604037457
53.29,-10.3,100.0,0.0,-0.155,0.957,0.9694709897670997,0.0,0.0,51.00000000000122,1.6749999999999998,0.56,65.02899066147538
